"source","h","state","irf","se_irf","ci_low","ci_high","ci_low_68","ci_high_68"
"Direct euro area EA-MD factors",5,"High fragmentation (+1 sd)",-2.7659024014368,0.690889800843766,-4.12004641109058,-1.41175839178302,-3.45679220228057,-2.07501260059304
"Direct euro area EA-MD factors",6,"High fragmentation (+1 sd)",-2.10909409352972,0.808626664337916,-3.69400235563203,-0.524185831427401,-2.91772075786763,-1.3004674291918
"Direct euro area EA-MD factors",7,"High fragmentation (+1 sd)",-1.59158290395278,1.18256287149091,-3.90940613207497,0.72624032416941,-2.7741457754437,-0.409020032461868
"Direct euro area EA-MD factors",8,"High fragmentation (+1 sd)",-2.04931866287918,1.1820848119412,-4.36620489428394,0.267567568525576,-3.23140347482038,-0.867233850937979
"Direct euro area EA-MD factors",9,"High fragmentation (+1 sd)",-1.38237734933273,0.814142111850979,-2.97809588856065,0.213341189895191,-2.19651946118371,-0.568235237481748
"Direct euro area EA-MD factors",10,"High fragmentation (+1 sd)",-1.85963316570227,0.776063835667551,-3.38071828361067,-0.338548047793874,-2.63569700136982,-1.08356933003472
"Direct euro area EA-MD factors",11,"High fragmentation (+1 sd)",-2.14512613251734,0.834874879954394,-3.78148089722795,-0.508771367806727,-2.98000101247173,-1.31025125256295
"Direct euro area EA-MD factors",12,"High fragmentation (+1 sd)",-2.17279137973765,0.814303819998318,-3.76882686693436,-0.576755892540952,-2.98709519973597,-1.35848755973934
"Direct euro area EA-MD factors",13,"High fragmentation (+1 sd)",-1.78762375791989,0.697144031284747,-3.15402605923799,-0.421221456601786,-2.48476778920464,-1.09047972663514
"Direct euro area EA-MD factors",14,"High fragmentation (+1 sd)",-2.28323546474499,0.910932040198037,-4.06866226353315,-0.497808665956841,-3.19416750494303,-1.37230342454696
